EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,Australia,0.75439980777917,0.7618073062552,0.76152505875742,0.7363884983914,0.71682822486196,0.70178773912324,0.69443709023443,0.68595558225485,0.68461358971954,0.65964723051324,0.64612511067865,0.64454972391008,0.62949863282161,0.6003517297219,0.59679872665271,0.58143466935923,0.57079671418714,0.55890349024856,0.53834965243883,0.53559131427441,0.52839685223797,0.52059777188491,0.50373014549669,0.48773455983758,0.46803855671805,0.45950093562454,0.4484050040059,0.44519774404004,0.43113678874346,0.42044897404135,0.40482610178548,0.39385371379725,0.37010075062174,0.36104838525439
AUT,Austria,0.23716166769568,0.24108220996673,0.2206518512413,0.21941646676192,0.2150738569038,0.21701977088061,0.22229978362263,0.21568806362556,0.20854309818939,0.19651641320879,0.19035236913358,0.19901972328135,0.19988883037143,0.21012410341422,0.20419780169714,0.20089603018007,0.18927621636596,0.17638572992671,0.17313008702377,0.16492318303815,0.17405097588555,0.16580708514633,0.1583288206554,0.15983314816592,0.15197557706838,0.15258215018069,0.15060482499161,0.15163288128357,0.14290352424107,0.14300290481302,0.14181316776206,0.14212314512368,0.12667574644346,0.12352173904419
AZE,Azerbaijan,0.89089703614624,0.8727393736387,0.9459787330942,1.0882298100794,1.2019784070746,1.3367914969847,1.1541845290586,1.0721213680091,0.98720089716081,0.94350514527057,0.88881837154345,0.79594268380909,0.72472662879415,0.70501207427881,0.64542665793388,0.53955289496132,0.41695267644887,0.33681681182613,0.3333902842615,0.27177344054561,0.25298251735689,0.2662872707585,0.27768281802719,0.26887437481465,0.27085249316679,0.26722889872404,0.27456393822325,0.27277986199077,0.27236830431898,0.27950387417937,0.28348470197866,0.27950277469377,0.2764738099154,0.28972354619228
BDI,Burundi,0.37080072208027,0.36950624833705,0.3597715847041,0.38930281075953,0.40237956537714,0.4535570409992,0.51075311316952,0.52911249039507,0.50031943689825,0.44142723078896,0.45592020164464,0.43912641075458,0.41602315227535,0.42712255122199,0.42898423115542,0.44127447011661,0.44602869621943,0.46572328263627,0.44650576464929,0.4541938655295,0.46599691616275,0.47469387097041,0.45260023632063,0.53190672741777,0.50376473315675,0.52284088098656,0.55663653717905,0.61627627506834,0.62739762263097,0.58261536257444,0.57373157311035,0.63011577762172,0.63323372509267,0.62125283920831
BEL,Belgium,0.3336230162676,0.33679330475799,0.32643339473642,0.32513661186258,0.33142863489571,0.32568112605914,0.33300040998282,0.31313468503016,0.31459902008522,0.29593391936334,0.28799197618489,0.28519287749335,0.26585091772235,0.26988877608334,0.25861312203238,0.24749829670634,0.23543935058418,0.22266073676483,0.22462012352194,0.21693209761848,0.22440736687808,0.20430527454527,0.19987397286,0.20117036158726,0.18758391580087,0.19094494470887,0.18708713677792,0.18114973541698,0.178605741109,0.17403818649775,0.17205685938395,0.16637609364804,0.15142843774786,0.14152657243486
BEN,Benin,0.33088211595755,0.32497288935038,0.32404896360126,0.30772906635928,0.32625957064676,0.29248559121917,0.3435752224205,0.34303257201214,0.33114062186762,0.33437428029844,0.3283647433165,0.33952834476236,0.34692043450946,0.35241600617498,0.35208378477136,0.36656225171964,0.40708648891483,0.41321415671826,0.39856796858701,0.4098479405548,0.43407052355023,0.4252125094301,0.40460092779049,0.40316540214876,0.39636960769877,0.40562164046403,0.44162196908546,0.42716019364976,0.43884164439093,0.41111873415398,0.40707414366564,0.3447242856137,0.33651462802091,0.31802300478241
BFA,Burkina Faso,1.110029053343,1.0711284780745,1.079364221481,1.0677899111462,1.0872382955047,1.0612757532871,0.98437074863573,0.96240771338218,0.92245063857672,0.82376354134585,0.82875105969132,0.86576071931534,0.85108617875863,0.95128075420421,0.92473560183199,0.87742355787832,0.84443344687594,0.84648567427007,0.83805855764092,0.83157562719873,0.79123205573257,0.76276627626859,0.74104182440493,0.72676031461417,0.70155682173305,0.71626737657837,0.69331270789431,0.67697817490747,0.65867480576187,0.64893327306246,0.56519336449859,0.61689161736049,0.61289864035383,0.60290250137678
BGD,Bangladesh,0.56304294686553,0.53587095853809,0.51316404413808,0.48763428358835,0.47641208863396,0.47128246986447,0.45609141301738,0.44202996008254,0.41841532931656,0.41747357051407,0.4000219006669,0.39729840686329,0.39245341938005,0.3822518374174,0.36534431849719,0.35497623302838,0.34304621783586,0.32946851692047,0.32939153827245,0.32240287667735,0.3187246201022,0.3067772538126,0.29491660719953,0.28197873560128,0.27424405960541,0.26791252962244,0.25783957645335,0.25416784156545,0.24161026402492,0.22686915566075,0.21563206774317,0.21595018383647,0.20842855238915,0.19909481319077
BGR,Bulgaria,0.78664131831497,0.71583698826252,0.72903523707016,0.72802087144702,0.68125957342008,0.66858040701708,0.63933168040222,0.71597367047829,0.66163086932518,0.64974779598958,0.60337633723178,0.59914574381578,0.53620490112583,0.55992415220239,0.51219566324666,0.48395041485569,0.46207165172326,0.4572642145799,0.41114909789284,0.37331750312827,0.38483864910716,0.41079248260386,0.37597900184194,0.34609795064992,0.35856833450316,0.36928259195239,0.34437294274654,0.34804017235739,0.31938823757054,0.29869643586315,0.28515629351517,0.29682545371644,0.30560678261461,0.24933172834108
BHR,Bahrain,1.3888472682513,1.2292683104172,1.321749783774,1.2460722311638,1.247272729496,1.1953288380691,1.1917384362201,1.0724344491322,1.0699126854716,1.0861501869637,1.0470233917146,1.0493859205201,1.0023227991876,0.93420850473212,0.87174770044182,0.89136917847625,0.87012932297313,0.82434491864604,0.83758863472808,0.8268935468495,0.79819531552535,0.78863942079555,0.81908994069904,0.84472338831833,0.83554178619817,0.81482292615507,0.7905714261471,0.75942828194872,0.74317325190997,0.77516696576621,0.81504254327367,0.79701810422039,0.7492737741694,0.74549957202375
